Player,Nation,Position,Current age,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Raphinha,br BRA,"FW,MF",28-144,13.6,0,0,0,6,13,8,64,8,11,0,0,0,33,1,7,12.5,Matches
Pedri,es ESP,MF,22-163,12.3,0,0,0,2,19,0,14,9,26,0,0,0,81,1,5,16.7,Matches
Jules Koundé,fr FRA,DF,26-176,12.3,1,0,0,7,8,0,23,7,10,0,0,0,49,13,10,56.5,Matches
Lamine Yamal,es ESP,FW,17-298,12.2,0,0,0,10,24,2,38,4,11,1,0,0,45,1,0,100.0,Matches
Pau Cubarsí,es ESP,DF,18-105,10.9,2,1,0,12,5,0,0,12,4,0,2,0,34,21,20,51.2,Matches
Robert Lewandowski,pl POL,FW,36-259,10.8,0,0,0,12,22,2,3,2,3,1,0,0,23,19,25,43.2,Matches
Iñigo Martínez,es ESP,DF,33-355,10.6,3,0,0,8,7,0,4,4,8,0,0,0,37,15,15,50.0,Matches
Alejandro Balde,es ESP,DF,21-201,8.9,1,0,0,4,7,0,17,5,7,1,0,0,33,2,2,50.0,Matches
Frenkie de Jong,nl NED,MF,27-360,8.9,2,0,0,12,9,0,2,12,8,0,0,0,39,9,6,60.0,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8.3,0,0,0,2,3,0,0,0,0,0,2,0,25,1,0,100.0,Matches
Marc Casado,es ESP,MF,21-235,7.0,1,0,0,11,10,0,2,3,21,0,0,0,30,3,8,27.3,Matches
Dani Olmo,es ESP,MF,27-000,4.8,0,0,0,4,8,0,9,1,7,0,0,0,27,4,1,80.0,Matches
Iñaki Peña,es ESP,GK,26-066,5.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,Matches
Gerard Martín,es ESP,DF,23-126,5.0,0,0,0,5,6,0,17,8,7,0,0,0,30,3,7,30.0,Matches
Ronald Araújo,uy URU,DF,26-061,5.8,0,0,0,5,0,0,0,2,5,0,0,1,16,21,13,61.8,Matches
Fermin López,es ESP,"MF,FW",21-361,5.0,1,0,0,6,8,1,8,1,5,0,0,0,22,0,7,0.0,Matches
Ferrán Torres,es ESP,FW,25-067,4.7,1,0,0,1,5,1,3,1,0,0,0,0,8,4,8,33.3,Matches
Gavi,es ESP,MF,20-275,3.3,1,0,0,5,4,0,3,0,7,0,0,0,11,6,9,40.0,Matches
Eric García,es ESP,"DF,MF",24-118,3.1,0,1,0,6,3,0,2,6,2,0,0,0,11,2,4,33.3,Matches
Marc-André ter Stegen,de GER,GK,33-007,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,0.6,1,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches
Héctor Fort,es ESP,DF,18-278,0.6,0,0,0,2,0,0,3,1,2,0,0,0,4,0,0,,Matches
Ansu Fati,es ESP,"FW,MF",22-188,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,0.4,0,0,0,1,0,0,0,1,1,0,0,0,3,2,0,100.0,Matches
Pablo Torre,es ESP,"FW,MF",22-034,0.2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,,Matches
Andreas Christensen,dk DEN,DF,29-027,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Andres Cuenca,es ESP,DF,17-330,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
