Player,Nation,Position,Current age,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Raphinha,br BRA,"FW,MF",28-144,13.6,604,528,74,19,3,4,64,11,36,21,4,0,444,2,16,Matches
Pedri,es ESP,MF,22-163,12.3,913,856,57,34,5,10,14,4,10,4,0,0,814,0,14,Matches
Jules Koundé,fr FRA,DF,26-176,12.3,816,701,114,21,2,3,23,93,0,0,0,0,707,1,10,Matches
Lamine Yamal,es ESP,FW,17-298,12.2,552,533,17,6,11,3,38,8,3,0,0,0,411,2,12,Matches
Pau Cubarsí,es ESP,DF,18-105,10.9,858,830,27,22,0,4,0,0,0,0,0,0,806,1,3,Matches
Robert Lewandowski,pl POL,FW,36-259,10.8,214,207,6,1,2,1,3,0,0,0,0,0,154,1,8,Matches
Iñigo Martínez,es ESP,DF,33-355,10.6,857,814,43,32,0,8,4,4,0,0,0,0,778,0,6,Matches
Alejandro Balde,es ESP,DF,21-201,8.9,490,411,75,9,1,1,17,66,0,0,0,0,423,4,9,Matches
Frenkie de Jong,nl NED,MF,27-360,8.9,713,697,15,11,0,0,2,3,0,0,0,0,669,1,5,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8.3,309,251,58,26,0,0,0,0,0,0,0,0,253,0,0,Matches
Marc Casado,es ESP,MF,21-235,7.0,506,490,16,14,2,2,2,1,0,0,0,0,461,0,1,Matches
Dani Olmo,es ESP,MF,27-000,4.8,220,201,19,5,3,1,9,0,12,5,1,0,177,0,6,Matches
Iñaki Peña,es ESP,GK,26-066,5.0,162,134,28,10,0,0,0,0,0,0,0,0,139,0,0,Matches
Gerard Martín,es ESP,DF,23-126,5.0,351,302,48,4,0,2,17,44,0,0,0,0,282,1,6,Matches
Ronald Araújo,uy URU,DF,26-061,5.8,378,366,12,11,0,2,0,0,0,0,0,0,348,0,0,Matches
Fermin López,es ESP,"MF,FW",21-361,5.0,200,186,14,2,1,2,8,2,6,3,0,0,167,0,3,Matches
Ferrán Torres,es ESP,FW,25-067,4.7,83,71,11,0,0,0,3,1,1,1,0,0,66,1,2,Matches
Gavi,es ESP,MF,20-275,3.3,167,165,2,2,1,1,3,0,0,0,0,0,147,0,4,Matches
Eric García,es ESP,"DF,MF",24-118,3.1,246,222,24,5,1,0,2,15,0,0,0,0,219,0,3,Matches
Marc-André ter Stegen,de GER,GK,33-007,1.0,56,49,7,1,0,0,0,0,0,0,0,0,39,0,0,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,0.6,18,17,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Héctor Fort,es ESP,DF,18-278,0.6,44,39,5,3,0,0,3,2,0,0,0,0,40,0,0,Matches
Ansu Fati,es ESP,"FW,MF",22-188,0.5,25,25,0,0,1,0,1,0,0,0,0,0,21,0,1,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,0.4,26,25,1,1,0,0,0,0,0,0,0,0,24,0,0,Matches
Pablo Torre,es ESP,"FW,MF",22-034,0.2,13,13,0,0,1,0,0,0,0,0,0,0,12,0,0,Matches
Andreas Christensen,dk DEN,DF,29-027,0.1,19,18,1,0,0,0,0,1,0,0,0,0,18,0,0,Matches
Andres Cuenca,es ESP,DF,17-330,0.1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
