Player,Nation,Position,Current age,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Raphinha,br BRA,"FW,MF",28-144,13.6,444,604,73.5,7419,1785,238,276,86.2,128,184,69.6,59,93,63.4,8,7.4,4.8,+0.6,38,27,25,7,58,Matches
Pedri,es ESP,MF,22-163,12.3,814,913,89.2,13602,3183,401,426,94.1,311,337,92.3,73,103,70.9,2,2.1,2.8,-0.1,24,100,25,1,114,Matches
Jules Koundé,fr FRA,DF,26-176,12.3,707,816,86.6,11169,3681,346,369,93.8,308,351,87.7,33,55,60.0,3,2.2,1.1,+0.8,10,39,8,4,47,Matches
Lamine Yamal,es ESP,FW,17-298,12.2,411,552,74.5,6130,1772,228,270,84.4,144,194,74.2,21,46,45.7,3,2.1,2.5,+0.9,14,30,34,3,63,Matches
Pau Cubarsí,es ESP,DF,18-105,10.9,806,858,93.9,15945,5726,239,253,94.5,487,502,97.0,74,91,81.3,1,1.0,0.3,0.0,4,79,1,0,74,Matches
Robert Lewandowski,pl POL,FW,36-259,10.8,154,214,72.0,1933,499,104,127,81.9,36,51,70.6,5,11,45.5,0,1.5,0.8,-1.5,11,17,4,0,27,Matches
Iñigo Martínez,es ESP,DF,33-355,10.6,778,857,90.8,14080,5180,317,337,94.1,392,418,93.8,61,84,72.6,1,1.0,0.3,0.0,3,90,0,0,80,Matches
Alejandro Balde,es ESP,DF,21-201,8.9,423,490,86.3,6069,1169,246,266,92.5,155,174,89.1,12,24,50.0,2,0.5,0.5,+1.5,4,9,6,1,24,Matches
Frenkie de Jong,nl NED,MF,27-360,8.9,669,713,93.8,10956,3159,319,338,94.4,273,282,96.8,55,61,90.2,0,0.2,0.6,-0.2,7,87,4,1,74,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8.3,253,309,81.9,6104,3385,41,41,100.0,157,158,99.4,54,109,49.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Marc Casado,es ESP,MF,21-235,7.0,461,506,91.1,7291,1793,238,256,93.0,181,194,93.3,24,35,68.6,2,0.5,0.6,+1.5,9,44,2,1,47,Matches
Dani Olmo,es ESP,MF,27-000,4.8,177,220,80.5,2645,671,98,111,88.3,47,62,75.8,16,22,72.7,1,1.0,0.8,0.0,12,20,7,0,34,Matches
Iñaki Peña,es ESP,GK,26-066,5.0,139,162,85.8,2989,1743,28,28,100.0,94,94,100.0,17,40,42.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Gerard Martín,es ESP,DF,23-126,5.0,282,351,80.3,4539,1334,139,153,90.8,129,155,83.2,13,26,50.0,3,1.9,1.5,+1.1,8,15,5,2,18,Matches
Ronald Araújo,uy URU,DF,26-061,5.8,348,378,92.1,6235,1688,118,126,93.7,212,221,95.9,14,26,53.8,0,0.0,0.1,0.0,0,10,0,0,10,Matches
Fermin López,es ESP,"MF,FW",21-361,5.0,167,200,83.5,2357,612,103,108,95.4,50,67,74.6,9,14,64.3,3,1.9,0.5,+1.1,6,13,3,0,15,Matches
Ferrán Torres,es ESP,FW,25-067,4.7,66,83,79.5,1022,215,31,38,81.6,27,31,87.1,3,5,60.0,1,0.5,0.2,+0.5,4,5,5,0,8,Matches
Gavi,es ESP,MF,20-275,3.3,147,167,88.0,2199,456,79,85,92.9,53,58,91.4,7,10,70.0,0,0.2,0.1,-0.2,5,15,4,0,11,Matches
Eric García,es ESP,"DF,MF",24-118,3.1,219,246,89.0,3300,941,120,129,93.0,80,92,87.0,12,15,80.0,0,0.2,0.4,-0.2,1,26,2,0,24,Matches
Marc-André ter Stegen,de GER,GK,33-007,1.0,39,56,69.6,1041,785,4,5,80.0,23,27,85.2,12,24,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,0.6,15,18,83.3,197,71,10,12,83.3,3,4,75.0,1,1,100.0,0,0.2,0.2,-0.2,1,3,2,0,3,Matches
Héctor Fort,es ESP,DF,18-278,0.6,40,44,90.9,444,133,28,29,96.6,10,12,83.3,0,1,0.0,0,0.0,0.0,0.0,0,6,0,0,2,Matches
Ansu Fati,es ESP,"FW,MF",22-188,0.5,21,25,84.0,360,102,13,15,86.7,5,6,83.3,3,3,100.0,0,0.0,0.2,0.0,0,2,0,0,5,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,0.4,24,26,92.3,410,195,11,12,91.7,13,13,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Pablo Torre,es ESP,"FW,MF",22-034,0.2,12,13,92.3,147,76,10,10,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Andreas Christensen,dk DEN,DF,29-027,0.1,18,19,94.7,321,98,8,9,88.9,10,10,100.0,0,0,,0,0.0,0.1,0.0,0,3,0,0,3,Matches
Andres Cuenca,es ESP,DF,17-330,0.1,9,9,100.0,127,23,4,4,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
