Player,Nation,Position,Current age,Matches Played,Minutes,Minutes Per Match Played,Percentage of Squad Minutes Played,90s Played,Starts,Minutes Per Match Started,Complete Matches Played,Substitute Appearances,Minutes Per Substitution,Matches as Unused Sub,Points per Match,Goals Scored (on pitch),Goals Allowed (on pitch),Plus/Minus,Plus/Minus/90,On-Off,xG (on pitch),xGA (on pitch),xG Plus/Minus,xG Plus/Minus/90,xG On-Off,Matches
Raphinha,br BRA,"FW,MF",28-144,14,"1,222",87,94.7,13.6,14,87,11,0,,0,2.07,40,22,+18,+1.33,0.00,30.5,19.7,+10.8,+0.82,+0.74,Matches
Pedri,es ESP,MF,22-163,14,"1,109",79,86.0,12.3,13,83,3,1,32,0,2.07,39,21,+18,+1.46,+0.96,30.1,16.4,+13.7,+1.11,+2.53,Matches
Jules Koundé,fr FRA,DF,26-176,13,"1,104",85,85.6,12.3,13,85,11,0,,0,2.23,36,19,+17,+1.39,+0.42,27.4,18.3,+9.2,+0.75,-0.08,Matches
Lamine Yamal,es ESP,FW,17-298,13,"1,094",84,84.8,12.2,13,84,3,0,,0,2.00,37,23,+14,+1.15,-1.14,28.3,18.6,+9.7,+0.82,+0.34,Matches
Pau Cubarsí,es ESP,DF,18-105,13,977,75,75.7,10.9,12,80,6,1,22,0,2.00,36,21,+15,+1.38,+0.23,26.6,17.5,+9.1,+0.84,+0.31,Matches
Robert Lewandowski,pl POL,FW,36-259,13,975,75,75.6,10.8,12,79,2,1,31,0,2.15,33,16,+17,+1.57,+1.00,26.3,14.6,+11.7,+1.12,+1.34,Matches
Iñigo Martínez,es ESP,DF,33-355,11,954,87,74.0,10.6,11,87,7,0,,1,2.27,34,13,+21,+1.98,+2.52,24.4,11.6,+12.7,+1.20,+1.69,Matches
Alejandro Balde,es ESP,DF,21-201,10,803,80,62.2,8.9,9,88,7,1,13,1,2.50,26,12,+14,+1.57,+0.65,20.0,13.9,+6.1,+0.68,-0.22,Matches
Frenkie de Jong,nl NED,MF,27-360,13,804,62,62.3,8.9,8,88,5,5,20,0,2.23,29,16,+13,+1.46,+0.34,20.2,14.0,+6.3,+0.73,-0.08,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8,750,94,58.1,8.3,8,94,8,0,,4,1.75,22,17,+5,+0.60,-1.73,17.7,15.1,+2.6,+0.33,-0.98,Matches
Marc Casado,es ESP,MF,21-235,10,633,63,49.1,7.0,7,86,6,3,11,0,2.50,22,10,+12,+1.71,+0.75,17.2,9.8,+7.4,+1.05,+0.56,Matches
Dani Olmo,es ESP,MF,27-000,9,435,48,33.7,4.8,6,64,0,3,18,0,2.11,12,8,+4,+0.83,-0.75,10.1,4.8,+5.4,+1.11,+0.53,Matches
Iñaki Peña,es ESP,GK,26-066,5,450,90,34.9,5.0,5,90,5,0,,9,3.00,20,5,+15,+3.00,+2.57,14.0,4.8,+9.2,+1.84,+1.66,Matches
Gerard Martín,es ESP,DF,23-126,8,446,56,34.6,5.0,5,84,3,3,8,6,1.63,14,11,+3,+0.61,-1.10,10.5,6.9,+3.6,+0.77,+0.02,Matches
Ronald Araújo,uy URU,DF,26-061,8,523,65,40.5,5.8,4,90,4,4,41,1,1.75,14,13,+1,+0.17,-1.94,10.3,11.6,-1.3,-0.24,-1.61,Matches
Fermin López,es ESP,"MF,FW",21-361,11,453,41,35.1,5.0,4,70,0,7,25,1,2.09,19,9,+10,+1.99,+1.02,12.7,8.0,+4.7,+1.00,+0.35,Matches
Ferrán Torres,es ESP,FW,25-067,11,426,39,33.0,4.7,3,90,2,8,20,0,1.82,18,8,+10,+2.11,+1.18,10.6,8.4,+2.2,+0.47,-0.44,Matches
Gavi,es ESP,MF,20-275,10,301,30,23.3,3.3,3,62,0,7,16,1,2.00,6,7,-1,-0.30,-2.12,6.2,7.4,-1.3,-0.40,-1.49,Matches
Eric García,es ESP,"DF,MF",24-118,9,276,31,21.4,3.1,3,58,0,6,17,2,1.56,8,6,+2,+0.65,-0.86,6.2,4.7,+1.4,+0.47,-0.37,Matches
Marc-André ter Stegen,de GER,GK,33-007,1,90,90,7.0,1.0,1,90,1,0,,0,0.00,1,2,-1,-1.00,-2.50,0.4,1.3,-0.9,-0.91,-1.79,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,6,53,9,4.1,0.6,0,,0,6,9,8,2.17,1,1,0,0.00,-1.38,1.0,0.8,+0.2,+0.42,-0.35,Matches
Héctor Fort,es ESP,DF,18-278,2,50,25,3.9,0.6,0,,0,2,25,12,1.50,1,1,0,0.00,-1.38,0.8,0.9,-0.1,-0.28,-1.06,Matches
Ansu Fati,es ESP,"FW,MF",22-188,4,41,10,3.2,0.5,0,,0,4,10,8,2.25,1,0,+1,+2.20,+0.90,0.3,1.1,-0.8,-1.67,-2.51,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,2,35,18,2.7,0.4,0,,0,2,18,3,1.50,1,1,0,0.00,-1.36,0.4,0.2,+0.2,+0.54,-0.23,Matches
Pablo Torre,es ESP,"FW,MF",22-034,2,21,11,1.6,0.2,0,,0,2,11,11,1.50,1,0,+1,+4.29,+3.01,0.5,0.0,+0.5,+2.24,+1.51,Matches
Andreas Christensen,dk DEN,DF,29-027,1,8,8,0.6,0.1,0,,0,1,8,4,1.00,0,0,0,0.00,-1.33,0.1,0.0,+0.1,+0.89,+0.13,Matches
Andres Cuenca,es ESP,DF,17-330,1,7,7,0.5,0.1,0,,0,1,7,2,3.00,0,0,0,0.00,-1.33,0.1,0.4,-0.3,-3.25,-4.03,Matches
Ander Astralaga,es ESP,GK,21-065,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Noah Darvich,de GER,MF,18-224,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Landry Farré,es ESP,DF,18-126,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Guillermo Fernandez,es ESP,MF,16-323,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Toni Fernández,es ESP,MF,16-326,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Diego Kochen,us USA,GK,19-049,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Áron Yaakobishvili,hu HUN,GK,19-062,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
