Player,Nation,Position,Current age,90s Played,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Matches
Raphinha,br BRA,"FW,MF",28-144,13.6,758,9,46,270,449,69,758,37,15,40.5,21,56.8,418,2159,1202,46,32,25,18,15,562,145,Matches
Pedri,es ESP,MF,22-163,12.3,1031,22,127,616,302,12,1031,26,18,69.2,5,19.2,600,3435,1554,31,34,3,15,13,752,43,Matches
Jules Koundé,fr FRA,DF,26-176,12.3,937,52,258,485,200,27,937,17,6,35.3,10,58.8,473,1718,851,21,10,4,18,8,640,66,Matches
Lamine Yamal,es ESP,FW,17-298,12.2,748,4,47,271,448,78,748,103,56,54.4,40,38.8,526,3765,2176,73,42,37,32,24,622,152,Matches
Pau Cubarsí,es ESP,DF,18-105,10.9,914,73,335,543,39,7,914,2,2,100.0,0,0.0,533,2387,1231,7,2,0,2,1,734,2,Matches
Robert Lewandowski,pl POL,FW,36-259,10.8,318,8,26,140,154,60,315,9,3,33.3,6,66.7,163,721,248,10,6,7,20,23,234,51,Matches
Iñigo Martínez,es ESP,DF,33-355,10.6,939,63,323,567,54,8,939,0,0,,0,,572,2719,1910,16,9,0,1,0,723,7,Matches
Alejandro Balde,es ESP,DF,21-201,8.9,567,20,148,234,193,14,567,48,21,43.8,19,39.6,307,1924,1123,28,22,5,6,11,388,63,Matches
Frenkie de Jong,nl NED,MF,27-360,8.9,786,18,111,540,137,7,786,5,1,20.0,4,80.0,486,2825,1432,15,25,0,11,6,621,16,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8.3,344,277,344,0,0,0,344,0,0,,0,,207,869,434,0,0,0,0,0,183,0,Matches
Marc Casado,es ESP,MF,21-235,7.0,586,15,87,405,97,5,586,6,2,33.3,4,66.7,273,1163,480,6,4,0,7,2,443,11,Matches
Dani Olmo,es ESP,MF,27-000,4.8,278,2,16,136,130,25,278,15,9,60.0,5,33.3,144,718,448,12,8,3,9,4,204,37,Matches
Iñaki Peña,es ESP,GK,26-066,5.0,169,116,168,1,0,0,169,0,0,,0,,94,389,181,0,0,0,0,0,105,0,Matches
Gerard Martín,es ESP,DF,23-126,5.0,413,17,91,202,124,7,413,8,1,12.5,7,87.5,193,620,331,6,12,1,5,4,259,43,Matches
Ronald Araújo,uy URU,DF,26-061,5.8,453,65,212,223,18,8,453,1,1,100.0,0,0.0,273,1138,503,0,3,0,0,0,318,0,Matches
Fermin López,es ESP,"MF,FW",21-361,5.0,266,5,26,128,115,28,266,16,7,43.8,8,50.0,155,684,308,11,3,6,8,7,198,39,Matches
Ferrán Torres,es ESP,FW,25-067,4.7,125,7,17,36,72,20,125,8,3,37.5,5,62.5,65,258,55,2,0,3,4,3,89,31,Matches
Gavi,es ESP,MF,20-275,3.3,206,3,24,126,58,5,206,3,0,0.0,3,100.0,110,459,191,4,7,0,3,1,159,14,Matches
Eric García,es ESP,"DF,MF",24-118,3.1,280,16,75,161,46,9,280,5,3,60.0,2,40.0,144,489,231,2,3,0,3,1,199,6,Matches
Marc-André ter Stegen,de GER,GK,33-007,1.0,61,45,61,0,0,0,61,0,0,,0,,45,234,171,0,0,0,0,0,31,0,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,0.6,27,0,3,11,14,1,27,0,0,,0,,12,53,26,1,3,0,4,2,16,3,Matches
Héctor Fort,es ESP,DF,18-278,0.6,50,1,6,26,18,0,50,1,1,100.0,0,0.0,26,84,48,0,0,0,1,0,35,5,Matches
Ansu Fati,es ESP,"FW,MF",22-188,0.5,30,0,2,14,14,0,30,2,1,50.0,1,50.0,21,106,31,1,2,0,1,3,25,4,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,0.4,30,2,11,19,0,0,30,0,0,,0,,10,44,17,0,0,0,0,0,18,0,Matches
Pablo Torre,es ESP,"FW,MF",22-034,0.2,18,0,1,11,6,1,18,1,0,0.0,1,100.0,9,53,27,0,0,0,1,0,15,2,Matches
Andreas Christensen,dk DEN,DF,29-027,0.1,19,0,5,12,3,1,19,0,0,,0,,14,57,30,0,1,0,0,0,13,0,Matches
Andres Cuenca,es ESP,DF,17-330,0.1,10,0,2,7,1,0,10,0,0,,0,,7,42,15,0,1,0,0,0,9,0,Matches
