Player,Nation,Position,Current age,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Raphinha,br BRA,"FW,MF",28-144,13.6,13,51,21,41.2,3.76,1.55,0.25,0.62,20.3,6,0,0,5.9,5.9,0.12,+7.1,+7.1,Matches
Pedri,es ESP,MF,22-163,12.3,0,6,1,16.7,0.49,0.08,0.00,0.00,23.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Jules Koundé,fr FRA,DF,26-176,12.3,0,4,2,50.0,0.33,0.16,0.00,0.00,18.9,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
Lamine Yamal,es ESP,FW,17-298,12.2,5,53,24,45.3,4.36,1.97,0.09,0.21,19.7,0,0,0,4.2,4.2,0.08,+0.8,+0.8,Matches
Pau Cubarsí,es ESP,DF,18-105,10.9,0,3,1,33.3,0.28,0.09,0.00,0.00,9.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Robert Lewandowski,pl POL,FW,36-259,10.8,11,30,15,50.0,2.77,1.38,0.27,0.53,13.5,0,3,3,10.4,8.0,0.27,+0.6,0.0,Matches
Iñigo Martínez,es ESP,DF,33-355,10.6,2,4,2,50.0,0.38,0.19,0.50,1.00,5.7,0,0,0,0.7,0.7,0.18,+1.3,+1.3,Matches
Alejandro Balde,es ESP,DF,21-201,8.9,0,2,0,0.0,0.22,0.00,0.00,,15.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Frenkie de Jong,nl NED,MF,27-360,8.9,0,4,0,0.0,0.45,0.00,0.00,,11.6,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches
Wojciech Szczęsny,pl POL,GK,35-019,8.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marc Casado,es ESP,MF,21-235,7.0,0,5,1,20.0,0.71,0.14,0.00,0.00,14.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Dani Olmo,es ESP,MF,27-000,4.8,2,15,6,40.0,3.10,1.24,0.13,0.33,14.1,0,0,0,2.3,2.3,0.15,-0.3,-0.3,Matches
Iñaki Peña,es ESP,GK,26-066,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerard Martín,es ESP,DF,23-126,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ronald Araújo,uy URU,DF,26-061,5.8,1,5,2,40.0,0.86,0.34,0.20,0.50,7.1,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
Fermin López,es ESP,"MF,FW",21-361,5.0,1,16,8,50.0,3.18,1.59,0.06,0.13,15.8,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches
Ferrán Torres,es ESP,FW,25-067,4.7,3,14,6,42.9,2.96,1.27,0.21,0.50,12.1,1,0,0,3.0,3.0,0.21,0.0,0.0,Matches
Gavi,es ESP,MF,20-275,3.3,0,3,1,33.3,0.90,0.30,0.00,0.00,12.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Eric García,es ESP,"DF,MF",24-118,3.1,2,4,3,75.0,1.30,0.98,0.50,0.67,10.4,0,0,0,1.1,1.1,0.27,+0.9,+0.9,Matches
Marc-André ter Stegen,de GER,GK,33-007,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pau Victor Delgado,es ESP,"FW,MF",23-162,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Héctor Fort,es ESP,DF,18-278,0.6,0,1,0,0.0,1.80,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Ansu Fati,es ESP,"FW,MF",22-188,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergi Dominguez,es ESP,"DF,FW",20-036,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Torre,es ESP,"FW,MF",22-034,0.2,0,1,0,0.0,4.29,0.00,0.00,,16.3,0,0,0,0.4,0.4,0.41,-0.4,-0.4,Matches
Andreas Christensen,dk DEN,DF,29-027,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Andres Cuenca,es ESP,DF,17-330,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
